Venue,Scope,Open,Close,Lit,Notes
Alder Park,SAT default,7:00 AM,8:00 PM,no,
Alder Park,SUN 08/23 only,7:00 AM,8:00 PM,no,seeding weekend
Brookside Park,SAT default,7:00 AM,6:00 PM,no,
Maplewood Back,SAT default,7:00 AM,8:00 PM,no,
Maplewood Front,SAT default,7:00 AM,8:00 PM,no,
Orchard Park,SAT default,7:00 AM,7:00 PM,no,traffic constraint: 20-min turnover HARD
Riverbend,SAT default,7:00 AM,7:00 PM,no,
Summit HS,SAT 08/22,5:00 PM,9:00 PM,yes,
Summit HS,SAT 08/29,5:00 PM,9:00 PM,yes,
Summit HS,SAT 09/26,5:00 PM,9:00 PM,yes,
Summit HS,SAT 10/03,5:00 PM,9:00 PM,yes,
Summit HS,SAT 10/10,5:00 PM,9:00 PM,yes,
Summit HS,SAT 10/17,5:00 PM,9:00 PM,yes,
Summit HS,SAT 10/24,5:00 PM,9:00 PM,yes,
Summit HS,SAT 10/31,5:00 PM,9:00 PM,yes,
Summit HS,SAT 11/07,5:00 PM,9:00 PM,yes,
Summit HS,SAT 11/14,5:00 PM,9:00 PM,yes,
Summit HS,SAT 09/12,2:00 PM,9:00 PM,yes,early open
Summit HS,SAT 09/19,—,—,yes,NO PERMIT this date
