code_name,actual_label,venue,remainder,uncertain,confirmed,used_for
11v11 Field 1,Willowmead Park Turf,Willowmead Park,Turf,,,
11v11 Field 2,Hawthorn MS Field 1,Hawthorn MS,Field 1,,,
11v11 Field 3,Alder Park,Alder Park,,,,
7v7 Field 1,Larkfield Green Field 2?,Larkfield Green,Field 2?,yes,,"U9-12 practices M-Th and, U9-12 games Sat"
7v7 Field 2,Maplewood Front Field 1,Maplewood Front,Field 1,,,"U9-12 practices M-Th and, U9-12 games Sat"
7v7 Field 3,Larkfield Green Field 1,Larkfield Green,Field 1,,,"U9-12 practices M-Th and, U9-12 games Sat"
7v7 Field 4,Brookside Park,Brookside Park,,,,
7v7 Field 5,Brookside Park,Brookside Park,,,,
9v9 Field 1,Rookerie Park Turf 2A,Rookerie Park,Turf 2A,,,
9v9 Field 2,Rookerie Park Turf 2B,Rookerie Park,Turf 2B,,,
9v9 Field 3,Fivepines Park Upper,Fivepines Park,Upper,,,
9v9 Field 4,Fivepines Park Lower,Fivepines Park,Lower,,,
9v9 Field 5,Alder Park,Alder Park,,,,
9v9 Field 6,Alder Park,Alder Park,,,,
Junior Field 1,Maplewood Back Field 1,Maplewood Back,Field 1,,,"Junior and U9/10 practices M-Th, Junior games Sat"
Junior Field 2,Maplewood Back Field 2,Maplewood Back,Field 2,,,"Junior and U9/10 practices M-Th, Junior games Sat"
Junior Field 3,Maplewood Back Field 3,Maplewood Back,Field 3,,,"Junior and U9/10 practices M-Th, Junior games Sat"
Junior Field 4,Maplewood Back Field 4,Maplewood Back,Field 4,,,"Junior and U9/10 practices M-Th, Junior games Sat"
Junior Field 5,Maplewood Back Field 5,Maplewood Back,Field 5,,,"Junior and U9/10 practices M-Th, Junior games Sat"
Junior Field 6,Maplewood Back Field 6,Maplewood Back,Field 6,,,"Junior and U9/10 practices M-Th, Junior games Sat"
Junior Field 7,Maplewood Back Field 7,Maplewood Back,Field 7,,,"Junior and U9/10 practices M-Th, Junior games Sat"
Micro Field 1,Orchard Park Field 1,Orchard Park,Field 1,,,GH and Junior practices T/Th and GH games Sat
Micro Field 2,Orchard Park Field 2,Orchard Park,Field 2,,,GH and Junior practices T/Th and GH games Sat
Micro Field 3,Orchard Park Field 3,Orchard Park,Field 3,,,GH and Junior practices T/Th and GH games Sat
Micro Field 4,Orchard Park Field 4,Orchard Park,Field 4,,,GH and Junior practices T/Th and GH games Sat
Micro Field 5,Orchard Park Field 5,Orchard Park,Field 5,,,GH and Junior practices T/Th and GH games Sat
Micro Field 6,Orchard Park Field 6,Orchard Park,Field 6,,,GH and Junior practices T/Th and GH games Sat
