date_start,date_end,time_start,time_end,venue,fields,reason,source_kind
2026-09-19,2026-09-19,11:00,13:00,Alder Park,4,Adaptive Sports Org Flag Football,public calendar
2026-09-24,2026-09-24,16:00,19:00,Maplewood,All,School Event,
2026-09-26,2026-09-26,11:00,13:00,Alder Park,4,Adaptive Sports Org Flag Football,public calendar
2026-10-03,2026-10-03,11:00,13:00,Alder Park,4,Adaptive Sports Org Flag Football,public calendar
2026-10-10,2026-10-10,11:00,13:00,Alder Park,4,Adaptive Sports Org Flag Football,public calendar
2026-10-17,2026-10-17,07:00,12:00,Maplewood,2026-01-07,Gardening Day,operator correspondence
2026-10-17,2026-10-17,11:00,13:00,Alder Park,4,Adaptive Sports Org Flag Football,public calendar
2026-10-23,2026-10-23,16:00,19:00,Maplewood,All,School Event,
2026-10-29,2026-10-29,16:00,19:00,Maplewood,Parking,School Event,public calendar
2026-08-01,2026-10-31,00:00,23:00,Fivepines Park,All,"Reseeding, Indefinite Closure",
2026-08-01,2026-11-28,00:00,23:00,Quarrywood Park,All,Offline,
2026-08-01,2026-11-28,00:00,23:00,Cedarbrook Park,All,Offline,
2026-08-01,2026-11-28,00:00,23:00,Alder Park,Adjacent Fields,Spacing,operator correspondence
