venue,field_sizes,age_groups,practice_max_teams,bathroom,notes
Orchard Park,4v4 (6),u5,,order potty,
Maplewood,5v5 (7),u8,,order potty,
Quarrywood Park,"11v11, 7v7 (2)",,,order potty,
Cedarbrook Park,7v7,,,order potty,
Foxglove Park,7v7,XX,XX,XX,
Larkfield Green,7v7 (1),,,order potty,
Brookside Park,11v11 (lower) 9v9 (2-uppper),,,order potty,
Alder Park,11v11 (4) 9v9 (8),??,??,yes,????Availability UNKNOWN as of 3/26
Summit HS,11v11,,,yes,
Ridgeline Club,9v9 (1) 7v7 (2) upper (+ lower),,,yes (HARD),9v9 (1) 7v7 (2) lower (HAYWARD)
Beacon Field,11v11 (2) 9v9 (4),,,yes,
Willowmead Park,11v11 (2),,,yes,AUG YES/NO SEPT-NOV
Willowmead Park,11v11,,,yes,
Hawthorn MS,11v11,,,yes,NO AUG/ POSSIBLE SEPT-NOV
