date,matchup,was,now,reason
Aug 29,Scrimmage - teams TBD vs -,(not previously scheduled),5:30 PM Alder Park Soccer 2,Regional League Select fixture
Aug 29,16GSelect02 vs 19GSelect01,(not previously scheduled),5:20 PM Alder Park Soccer 3,Regional League Select fixture
Sep 12,14BSelect03 vs Home Club - U14B Quarry,(not previously scheduled),8:00 AM Alder Park Soccer 2,Regional League Select fixture
Sep 12,19BSelect01 vs Visiting Club D - U19B Zenith,(not previously scheduled),4:00 PM Alder Park Soccer 2,Regional League Select fixture
Sep 12,14BSelect01 vs Visiting Club A - U14B South,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Sep 12,19GSelect01 vs Visiting Club C - U19G Echo,(not previously scheduled),9:40 AM Alder Park Soccer 3,Regional League Select fixture
Sep 12,14BSelect05 vs San Ramon FC San Ramon FC U14B Legion,(not previously scheduled),11:30 AM Alder Park Soccer 3,Regional League Select fixture
Sep 12,14GSelect01 vs Pleasanton Rage Pleasanton RAGE Shock,(not previously scheduled),1:00 PM Alder Park Soccer 3,Regional League Select fixture
Sep 12,14GSelect02 vs Visiting Club D - U14G Alpha,(not previously scheduled),2:40 PM Alder Park Soccer 3,Regional League Select fixture
Sep 12,16GSelect02 vs San Ramon FC San Ramon FC U16G Blast,(not previously scheduled),4:20 PM Alder Park Soccer 3,Regional League Select fixture
Sep 12,16BSelect01 vs Visiting Club A - U16B Kilo,(not previously scheduled),5:30 PM Summit HS Football Stadium,Regional League Select fixture
Sep 12,07BJunior02 vs 07BJunior09,10:05 AM Maplewood Back Field 1,10:15 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,07BJunior04 vs 07BJunior07,11:10 AM Maplewood Back Field 1,11:30 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,08BJunior01 vs 08BJunior08,10:05 AM Maplewood Back Field 2,10:15 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,08BJunior02 vs 08BJunior05,11:10 AM Maplewood Back Field 2,11:30 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,07BJunior01 vs 07BJunior12,10:05 AM Maplewood Back Field 3,10:15 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,08GJunior01 vs 08GJunior06,11:10 AM Maplewood Back Field 3,11:30 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,07BJunior03 vs 07BJunior08,10:05 AM Maplewood Back Field 4,10:15 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,07GJunior07 vs 07GJunior05,11:10 AM Maplewood Back Field 4,11:30 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,08BJunior10 vs 08BJunior06,10:05 AM Maplewood Back Field 5,10:15 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,07BJunior13 vs 07BJunior11,11:10 AM Maplewood Back Field 5,11:30 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,07GJunior02 vs 07GJunior03,10:05 AM Maplewood Back Field 6,10:15 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,08GJunior02 vs 08GJunior03,11:10 AM Maplewood Back Field 6,11:30 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 12,08GJunior08 vs 08GJunior04,10:05 AM Maplewood Back Field 7,10:15 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,16BSuperRec02 vs Visiting Club D - U16B Bravo,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Sep 19,16GSelect02 vs Solano Surf U16G Team 171,(not previously scheduled),9:50 AM Alder Park Soccer 3,Regional League Select fixture
Sep 19,14BSelect02 vs Visiting Club A - U14B Orbit,(not previously scheduled),11:40 AM Alder Park Soccer 3,Regional League Select fixture
Sep 19,14BSelect04 vs Visiting Club C - U14B Ridge,(not previously scheduled),1:20 PM Alder Park Soccer 3,Regional League Select fixture
Sep 19,14GSelect03 vs Visiting Club A - U14G Meridian,(not previously scheduled),3:00 PM Alder Park Soccer 3,Regional League Select fixture
Sep 19,08BJunior04 vs 08BJunior10,10:05 AM Maplewood Back Field 1,10:15 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07BJunior07 vs 07BJunior02,11:10 AM Maplewood Back Field 1,11:30 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07GJunior02 vs 07GJunior08,10:05 AM Maplewood Back Field 2,10:15 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,08GJunior02 vs 08GJunior08,11:10 AM Maplewood Back Field 2,11:30 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07BJunior05 vs 07BJunior04,10:05 AM Maplewood Back Field 3,10:15 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07GJunior03 vs 07GJunior07,11:10 AM Maplewood Back Field 3,11:30 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,08BJunior05 vs 08BJunior09,10:05 AM Maplewood Back Field 4,10:15 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,08BJunior06 vs 08BJunior08,11:10 AM Maplewood Back Field 4,11:30 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07BJunior11 vs 07BJunior01,10:05 AM Maplewood Back Field 5,10:15 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,08BJunior07 vs 08BJunior01,11:10 AM Maplewood Back Field 5,11:30 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07BJunior09 vs 07BJunior13,10:05 AM Maplewood Back Field 6,10:15 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07GJunior04 vs 07GJunior06,11:10 AM Maplewood Back Field 6,11:30 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07BJunior08 vs 07BJunior14,10:05 AM Maplewood Back Field 7,10:15 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 19,07BJunior06 vs 07BJunior03,11:10 AM Maplewood Back Field 7,11:30 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,12G9v903 vs 12G9v906,10:25 AM Alder Park Soccer 1B,2:40 PM Alder Park Soccer 1A,Coach conflict - away U19G game in Danville 10:20 AM
Sep 26,14GSelect01 vs Visiting Club C - U14G Nova,(not previously scheduled),3:45 PM Alder Park Soccer 2,Regional League Select fixture
Sep 26,14BSelect01 vs Visiting Club A - U14B Lantern,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Sep 26,16BSelect01 vs Visiting Club B - U16 Tango,(not previously scheduled),9:50 AM Alder Park Soccer 3,Regional League Select fixture
Sep 26,14BSelect05 vs Visiting Club A - U14B East,(not previously scheduled),12:00 PM Alder Park Soccer 3,Regional League Select fixture
Sep 26,16GSelect02 vs Pleasanton Rage Pleasanton RAGE Fury,(not previously scheduled),1:50 PM Alder Park Soccer 3,Regional League Select fixture
Sep 26,16GSelect01 vs Solano Surf U16G Team 171,(not previously scheduled),3:40 PM Alder Park Soccer 3,Regional League Select fixture
Sep 26,16BSuperRec02 vs Visiting Club A - U16B Kilo,(not previously scheduled),5:00 PM Summit HS Football Stadium,Regional League Select fixture
Sep 26,14GSelect02 vs Hayward Youth Soccer League HYSL U14G,(not previously scheduled),11:00 AM Brookside Park Lower,Regional League Select fixture
Sep 26,14BSelect03 vs San Ramon FC San Ramon FC U14B Lancers,(not previously scheduled),1:30 PM Brookside Park Lower,Regional League Select fixture
Sep 26,08GJunior06 vs 08GJunior02,10:05 AM Maplewood Back Field 1,10:15 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,08BJunior01 vs 08BJunior06,11:10 AM Maplewood Back Field 1,11:30 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,08GJunior05 vs 08GJunior03,10:05 AM Maplewood Back Field 2,10:15 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,07BJunior12 vs 07BJunior08,11:10 AM Maplewood Back Field 2,11:30 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,07BJunior01 vs 07BJunior10,10:05 AM Maplewood Back Field 3,10:15 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,07GJunior07 vs 07GJunior08,11:10 AM Maplewood Back Field 3,11:30 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,08BJunior10 vs 08BJunior02,10:05 AM Maplewood Back Field 4,10:15 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,08BJunior07 vs 08BJunior05,11:10 AM Maplewood Back Field 4,11:30 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,08GJunior07 vs 08GJunior08,10:05 AM Maplewood Back Field 5,10:15 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,08BJunior09 vs 08BJunior03,11:10 AM Maplewood Back Field 5,11:30 AM Maplewood Back Field 5,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,07GJunior01 vs 07GJunior04,10:05 AM Maplewood Back Field 6,10:15 AM Maplewood Back Field 6,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,07GJunior06 vs 07GJunior02,10:05 AM Maplewood Back Field 7,10:15 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Sep 26,08BJunior08 vs 08BJunior04,11:10 AM Maplewood Back Field 7,11:30 AM Maplewood Back Field 7,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,16GSelect01 vs Pleasanton Rage Pleasanton RAGE Fury,(not previously scheduled),2:20 PM Alder Park Soccer 2,Regional League Select fixture
Oct 03,14BSelect01 vs Visiting Club A - U14B Orbit,(not previously scheduled),8:00 AM Alder Park Soccer 3,Regional League Select fixture
Oct 03,14BSelect02 vs Visiting Club D - U14B Mesa,(not previously scheduled),9:40 AM Alder Park Soccer 3,Regional League Select fixture
Oct 03,14BSelect04 vs Visiting Club B - U14 Beacon,(not previously scheduled),11:20 AM Alder Park Soccer 3,Regional League Select fixture
Oct 03,14GSelect01 vs Hayward Youth Soccer League HYSL U14G,(not previously scheduled),1:00 PM Alder Park Soccer 3,Regional League Select fixture
Oct 03,14GSelect03 vs Visiting Club D - U14G Vale,(not previously scheduled),2:40 PM Alder Park Soccer 3,Regional League Select fixture
Oct 03,16GSelect02 vs Visiting Club C - U16G Crest,(not previously scheduled),4:20 PM Alder Park Soccer 3,Regional League Select fixture
Oct 03,07BJunior08 vs 07BJunior10,10:05 AM Maplewood Back Field 1,10:15 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07BJunior04 vs 07BJunior14,11:10 AM Maplewood Back Field 1,11:30 AM Maplewood Back Field 1,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07BJunior03 vs 07BJunior02,10:05 AM Maplewood Back Field 2,10:15 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,08BJunior04 vs 08BJunior06,11:10 AM Maplewood Back Field 2,11:30 AM Maplewood Back Field 2,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07GJunior08 vs 07GJunior05,10:05 AM Maplewood Back Field 3,10:15 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07BJunior09 vs 07BJunior01,11:10 AM Maplewood Back Field 3,11:30 AM Maplewood Back Field 3,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07GJunior07 vs 07GJunior06,10:05 AM Maplewood Back Field 4,10:15 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
Oct 03,07GJunior03 vs 07GJunior01,11:10 AM Maplewood Back Field 4,11:30 AM Maplewood Back Field 4,"Maplewood respacing to 30-min gaps between games (spaced games for parking, field quality)"
