display_name,actual_label,venue,field,subunit
Micro Field 1,Orchard Park Field 1,Orchard Park,Field 1,
Micro Field 2,Orchard Park Field 2,Orchard Park,Field 2,
Micro Field 3,Orchard Park Field 3,Orchard Park,Field 3,
Micro Field 4,Orchard Park Field 4,Orchard Park,Field 4,
Micro Field 5,Orchard Park Field 5,Orchard Park,Field 5,
Micro Field 6,Orchard Park Field 6,Orchard Park,Field 6,
Junior Field 1,Maplewood Field 1,Maplewood,Field 1,
Junior Field 2,Maplewood Field 2,Maplewood,Field 2,
Junior Field 3,Maplewood Field 3,Maplewood,Field 3,
Junior Field 4,Maplewood Field 4,Maplewood,Field 4,
Junior Field 5,Maplewood Field 5,Maplewood,Field 5,
Junior Field 6,Maplewood Field 6,Maplewood,Field 6,
Junior Field 7,Maplewood Field 7,Maplewood,Field 7,
7v7 Field 1,Cedarbrook Park Field 1,Cedarbrook Park,Field 1,
7v7 Field 2,Maplewood Front,Maplewood,Front,
7v7 Field 3,Larkfield Green Field 1,Larkfield Green,Field 1,
9v9 Field 1,Rookery Park Turf 2A,Rookery Park,Turf Field 2,A
9v9 Field 2,Rookery Park Turf 2B,Rookery Park,Turf Field 2,B
11v11 Field 1,Willowmead Park Turf,,,
11v11 Field 2,,,,
