source_sheet,venue,field,subunit,day,start,duration_minutes,team_code
93 Combined,Orchard Park,Field 1,A,Tuesday,16:00,45,05GMicro04
93 Combined,Orchard Park,Field 1,A,Tuesday,16:45,45,05BMicro08
93 Combined,Orchard Park,Field 1,A,Tuesday,17:30,45,05GMicro03
93 Combined,Orchard Park,Field 1,A,Thursday,16:00,45,06BMicro06
93 Combined,Orchard Park,Field 1,A,Thursday,16:45,45,06BMicro03
93 Combined,Orchard Park,Field 1,A,Thursday,17:30,45,06GMicro05
93 Combined,Orchard Park,Field 1,B,Tuesday,16:45,45,05BMicro04
93 Combined,Orchard Park,Field 1,B,Tuesday,17:30,45,05GMicro05
93 Combined,Orchard Park,Field 1,B,Thursday,16:45,45,06BMicro12
93 Combined,Orchard Park,Field 1,B,Thursday,17:30,45,06GMicro02
93 Combined,Orchard Park,Field 2,A,Tuesday,16:45,45,06GMicro03
93 Combined,Orchard Park,Field 2,A,Tuesday,17:30,45,06BMicro05
93 Combined,Orchard Park,Field 2,A,Thursday,16:45,45,05BMicro02
93 Combined,Orchard Park,Field 2,A,Thursday,17:30,45,05GMicro06
93 Combined,Orchard Park,Field 2,B,Tuesday,16:00,45,06GMicro04
93 Combined,Orchard Park,Field 2,B,Tuesday,16:45,45,06GMicro07
93 Combined,Orchard Park,Field 2,B,Tuesday,17:30,45,06BMicro04
93 Combined,Orchard Park,Field 2,B,Thursday,16:45,45,05BMicro07
93 Combined,Orchard Park,Field 2,B,Thursday,17:30,45,05GMicro01
93 Combined,Orchard Park,Field 3,A,Tuesday,16:45,45,06GMicro01
93 Combined,Orchard Park,Field 3,A,Tuesday,17:30,45,06BMicro01
93 Combined,Orchard Park,Field 3,A,Thursday,16:45,45,06BMicro11
93 Combined,Orchard Park,Field 3,A,Thursday,17:30,45,06BMicro07
93 Combined,Orchard Park,Field 3,B,Tuesday,16:45,45,06BMicro02
93 Combined,Orchard Park,Field 3,B,Tuesday,17:30,45,06BMicro09
93 Combined,Orchard Park,Field 3,B,Thursday,17:30,45,06BMicro10
93 Combined,Orchard Park,Field 4,A,Tuesday,16:45,45,05GMicro02
93 Combined,Orchard Park,Field 4,A,Tuesday,17:30,45,05BMicro03
93 Combined,Orchard Park,Field 4,A,Thursday,17:30,45,05BMicro06
93 Combined,Orchard Park,Field 4,B,Tuesday,16:45,45,05BMicro01
93 Combined,Orchard Park,Field 4,B,Tuesday,17:30,45,06GMicro06
93 Combined,Orchard Park,Field 4,B,Thursday,17:30,45,05BMicro05
93 Combined,Orchard Park,Field 5,,Tuesday,17:00,60,07BJunior07
93 Combined,Orchard Park,Field 5,,Tuesday,18:00,60,07GJunior04
93 Combined,Orchard Park,Field 5,,Thursday,17:00,60,07BJunior07
93 Combined,Orchard Park,Field 5,,Thursday,18:00,60,07GJunior04
93 Combined,Orchard Park,Field 6,,Tuesday,17:00,60,07BJunior14
93 Combined,Orchard Park,Field 6,,Tuesday,18:00,60,07GJunior08
93 Combined,Orchard Park,Field 6,,Thursday,17:00,60,07BJunior14
93 Combined,Orchard Park,Field 6,,Thursday,18:00,60,07GJunior08
93 Combined,Maplewood,Field 1,A,Monday,16:00,60,07GJunior02
93 Combined,Maplewood,Field 1,A,Monday,17:00,60,07BJunior06
93 Combined,Maplewood,Field 1,A,Monday,18:00,60,08GJunior06
93 Combined,Maplewood,Field 1,A,Tuesday,16:00,60,07GJunior01
93 Combined,Maplewood,Field 1,A,Tuesday,17:00,60,07BJunior09
93 Combined,Maplewood,Field 1,A,Tuesday,18:00,60,07BJunior13
93 Combined,Maplewood,Field 1,A,Wednesday,16:00,60,07GJunior02
93 Combined,Maplewood,Field 1,A,Wednesday,17:00,60,07BJunior06
93 Combined,Maplewood,Field 1,A,Wednesday,18:00,60,08GJunior06
93 Combined,Maplewood,Field 1,A,Thursday,16:00,60,07GJunior01
93 Combined,Maplewood,Field 1,A,Thursday,17:00,60,07BJunior09
93 Combined,Maplewood,Field 1,A,Thursday,18:00,60,07BJunior13
93 Combined,Maplewood,Field 1,B,Monday,16:00,60,07GJunior07
93 Combined,Maplewood,Field 1,B,Monday,17:00,60,07BJunior05
93 Combined,Maplewood,Field 1,B,Monday,18:00,60,08GJunior08
93 Combined,Maplewood,Field 1,B,Tuesday,16:00,60,06GMicro08
93 Combined,Maplewood,Field 1,B,Tuesday,17:00,60,07BJunior08
93 Combined,Maplewood,Field 1,B,Tuesday,18:00,60,07BJunior03
93 Combined,Maplewood,Field 1,B,Wednesday,16:00,60,07GJunior07
93 Combined,Maplewood,Field 1,B,Wednesday,17:00,60,07BJunior05
93 Combined,Maplewood,Field 1,B,Wednesday,18:00,60,08GJunior08
93 Combined,Maplewood,Field 1,B,Thursday,17:00,60,07BJunior08
93 Combined,Maplewood,Field 1,B,Thursday,18:00,60,07BJunior03
93 Combined,Maplewood,Field 2,A,Monday,16:00,60,08GJunior03
93 Combined,Maplewood,Field 2,A,Monday,17:00,60,07BJunior04
93 Combined,Maplewood,Field 2,A,Monday,18:00,60,07BJunior01
